match,velocity,north,east,lat,lon,current_velocity,current_latitude,current_longitude,delta_time,u1,u2
0,0.0,,,37.66911604446237,-120.9122489722034,86.238397016980812,37.669121766472642,-120.91223419501031,358,6368,6369
0,0.0,,,38.904754797099521,-77.0035804709418,8.909838488234211,38.9050222243533,-77.003404430215156,514,6953,6954
0,0.0,,,41.298229995894552,-72.925301734139808,18.243142515083349,41.298564575333778,-72.924978589452465,518,7390,7390
0,0.0,,,40.738052994988138,-74.158143588745062,36.075202992703268,40.737804429037389,-74.15851683270769,150,6372,6373
0,0.0,,,38.903560796841681,-77.00403823501145,20.103270402295145,38.903906546855787,-77.003876417338546,149,6718,6717
0,0.0,,,40.7559095989678,-74.087708997288871,27.704407553844064,40.755780772010453,-74.088157734461291,415,6698,6700
0,0.0,,,41.878052677180129,-87.6375106520768,0.86335514428765847,41.878085964955339,-87.637480188475081,14,6729,6730
0,0.0,,,38.904754797099521,-77.0035804709418,8.8677683443664836,38.905043965625957,-77.003400697136954,151,6954,6953
1,0.0,0.0,1.0,47.588384521718538,-122.33151208121875,1.69634294509888,47.598780130759351,-122.32959655102304,432,14877,14878
1,0.0,0.0,1.0,47.588384521718538,-122.33151208121875,31.3668098449707,47.610323677537316,-122.34356732325209,479,14877,14879
1,43.2163505554199,0.0,1.0,29.694145091405435,-81.660365475030943,76.5591201782227,29.753258716322282,-81.640784314242069,272,14877,14878
1,43.2163505554199,0.0,1.0,29.694145091405435,-81.660365475030943,79.6100463867188,29.845973958257947,-81.620415939612514,575,14877,14879
1,60.1177635192871,0.0,1.0,43.073128620234804,-78.922038404299428,0.0,43.1225619232415,-78.9353729730449,361,14877,14878
1,60.1177635192871,0.0,1.0,43.073128620234804,-78.922038404299428,14.9136791229248,43.126069289095248,-78.939267301780291,541,14877,14879
1,58.3280982971191,0.0,1.0,42.201557425620436,-87.863989005452169,77.9944763183594,42.281965839212752,-87.89740037854888,291,14877,14878
1,0.0,0.0,1.0,41.299108408044589,-72.925901136385988,17.9067039489746,41.29989058213949,-72.923833788139035,114,14877,14879
1,0.0,0.0,1.0,41.299108408044589,-72.925901136385988,24.5876502990723,41.308917976337376,-72.919005629488865,485,14877,14880
1,0.0,0.0,1.0,32.716204760495579,-117.16931190249629,3.03776454925537,32.71780755891966,-117.17015361380481,129,14877,14879
1,0.0,0.0,1.0,32.716204760495579,-117.16931190249629,0.0111846998333931,32.75424698714334,-117.19953872934138,486,14877,14880
1,0.0,0.0,1.0,31.790226055804904,-90.407049246366327,0.0,31.790275708885,-90.407011159058953,288,14877,14878
1,0.0,0.0,1.0,31.790226055804904,-90.407049246366327,12.5889797210693,31.792699019845092,-90.4078878093437,587,14877,14879
1,5.77801609039307,0.0,1.0,41.769558830101218,-72.6817942986551,9.04618549346924,41.849490831843212,-72.6426929133832,361,14877,14878
1,5.77801609039307,0.0,1.0,41.769558830101218,-72.6817942986551,10.115442276001,41.852547323947512,-72.6420338431621,542,14877,14879
1,80.2003631591797,0.0,1.0,35.682034687100419,-119.33091461133455,79.8523864746094,35.776457761364057,-119.35067499015611,298,14877,14878
1,80.2003631591797,0.0,1.0,35.682034687100419,-119.33091461133455,78.9389724731445,35.867909035383434,-119.38857909024573,571,14877,14879
1,54.3733024597168,0.0,1.0,34.98675004448436,-97.358818238633972,34.7905616760254,35.01625460849,-97.356631562919446,361,14877,14878
1,54.3733024597168,0.0,1.0,34.98675004448436,-97.358818238633972,61.5902900695801,35.080504165758391,-97.378938408686835,521,14877,14879
1,23.5,0.0,1.0,39.945736364806152,-75.19423090624322,22.9756107330322,39.954773086774573,-75.181458838469538,334,14877,14878
1,23.5,0.0,1.0,39.945736364806152,-75.19423090624322,27.2999992370605,39.960366881917778,-75.182086070889369,526,14877,14879
1,32.1179847717285,0.0,1.0,42.209045771644931,-86.171247109384609,62.5336570739746,42.280931099094374,-86.142076005465015,345,14877,14878
1,32.1179847717285,0.0,1.0,42.209045771644931,-86.171247109384609,29.1965408325195,42.311084675034515,-86.113670091572018,525,14877,14879
1,14.3536701202393,0.0,1.0,37.571644974819527,-121.97001434522656,77.7148666381836,37.60844029954265,-122.0337634686212,302,14877,14878
1,145.899993896484,0.0,1.0,41.484208013096662,-71.560677279474092,109.199996948242,41.663111097745222,-71.446386011572713,361,14877,14878
1,145.899993896484,0.0,1.0,41.484208013096662,-71.560677279474092,137.800003051758,41.747523325750052,-71.434710070185844,541,14877,14879
1,77.5748443603516,0.0,1.0,42.872566598791749,-87.924299457441677,0.161059677600861,42.941850058729813,-87.925207628344864,363,14877,14878
1,77.5748443603516,0.0,1.0,42.872566598791749,-87.924299457441677,43.8936500549316,42.947957723069131,-87.925632521088076,542,14877,14879
1,77.8267211914063,0.0,1.0,41.428608081070841,-87.739599243925753,25.4948501586914,41.486715428049536,-87.708498283583154,300,14877,14878
1,77.8267211914063,0.0,1.0,41.428608081070841,-87.739599243925753,0.0,41.494292967028279,-87.7044828199847,577,14877,14879
1,30.8262195587158,0.0,1.0,38.596314746649035,-121.44951420386921,74.2227630615234,38.657934635669804,-121.38440684859559,291,14877,14878
1,30.8262195587158,0.0,1.0,38.596314746649035,-121.44951420386921,61.733211517334,38.704953298419554,-121.33340729819851,593,14877,14879
1,1.69634294509888,0.0,1.0,47.5987757584729,-122.32961236440357,31.3668098449707,47.610364658045725,-122.34358160805643,47,14878,14879
1,1.69634294509888,0.0,1.0,47.5987757584729,-122.32961236440357,38.9040412902832,47.656524194846618,-122.3864822866113,420,14878,14880
1,76.5591201782227,0.0,1.0,29.753255746896357,-81.64081133253211,79.6100463867188,29.846010363992693,-81.620419219030723,303,14878,14879
1,77.9944763183594,0.0,1.0,42.281948367332859,-87.897436289555912,79.0243759155273,42.389928855907314,-87.915614694220153,323,14878,14879
1,0.0,0.0,1.0,41.299108408044589,-72.925901136385988,17.9067039489746,41.29991735906426,-72.923849554199364,114,14878,14879
1,0.0,0.0,1.0,41.299108408044589,-72.925901136385988,24.5876502990723,41.308923865530296,-72.9190095414575,485,14878,14880
1,0.0,0.0,1.0,32.716204760495579,-117.16931190249629,3.03776454925537,32.717790417134353,-117.17017398166116,129,14878,14879
1,0.0,0.0,1.0,32.716204760495579,-117.16931190249629,0.0111846998333931,32.75427328752663,-117.1995394229276,486,14878,14880
1,68.3452301025391,0.0,1.0,40.347970723528292,-118.31268835879992,68.6785354614258,40.396813196141672,-118.3010864562624,179,14878,14879
1,68.3452301025391,0.0,1.0,40.347970723528292,-118.31268835879992,68.4704971313477,40.49839647912323,-118.2953297969102,554,14878,14880
1,0.0,0.0,1.0,31.790226055804904,-90.407049246366327,12.5889797210693,31.792679711724514,-90.407878816704184,299,14878,14879
1,9.04618549346924,0.0,1.0,41.849488198748766,-72.642716531817783,10.115442276001,41.85253324197194,-72.642043506063914,181,14878,14879
